epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84011,1.45066,3.05141,1.81707,0.00346,1,0.60324,0.39908,0.95221,3.22095,1.35146,0.00024,0.00024,0.00024
2,6.1642,0.97808,1.79355,1.30987,0.81391,0.15776,0.65522,0.48609,0.89233,2.89553,1.22473,0.0004901,0.0004901,0.0004901
3,8.31556,0.87991,1.5291,1.23615,1,0.71719,0.87081,0.68892,0.87251,2.64536,1.22053,0.000729904,0.000729904,0.000729904
4,10.484,0.84625,1.37763,1.1803,0.92134,0.83701,0.93074,0.66907,1.08714,2.30398,1.48248,0.000959412,0.000959412,0.000959412
5,12.714,0.90898,1.41611,1.2253,0.85818,0.64855,0.77045,0.49492,1.26668,2.44015,1.55959,0.00117862,0.00117862,0.00117862
6,14.9169,0.98977,1.38819,1.26928,0.68125,0.71429,0.74759,0.50575,1.0872,2.32971,1.38705,0.00138754,0.00138754,0.00138754
7,17.1043,0.9066,1.33685,1.25555,0.91862,0.80662,0.85397,0.53295,1.20756,2.27743,1.58408,0.00158616,0.00158616,0.00158616
8,19.2179,0.88421,1.21791,1.20243,0.65375,0.78571,0.76587,0.42994,1.34502,3.50976,1.79812,0.0017228,0.0017228,0.0017228
9,21.3869,0.92276,1.32053,1.27321,0.89793,0.71429,0.80213,0.52836,1.12594,1.9852,1.43767,0.0016832,0.0016832,0.0016832
10,23.5895,0.92461,1.23024,1.24849,0.91931,0.82143,0.86385,0.54156,1.24475,1.9537,1.50911,0.0016436,0.0016436,0.0016436
11,26.1344,0.90317,1.22088,1.22458,0.94185,0.78571,0.82719,0.58449,1.10668,1.84417,1.3509,0.001604,0.001604,0.001604
12,28.6476,0.86102,1.17854,1.13473,0.73324,0.78571,0.78449,0.49469,1.29145,2.05636,1.52133,0.0015644,0.0015644,0.0015644
13,30.7462,0.91768,1.04561,1.2449,0.81981,0.64286,0.75622,0.49096,1.29499,2.10477,1.50389,0.0015248,0.0015248,0.0015248
14,32.8378,0.88996,1.06791,1.20829,0.8023,0.57143,0.66834,0.4103,1.26624,2.29817,1.43806,0.0014852,0.0014852,0.0014852
15,35.0197,0.86968,1.01738,1.18983,0.76428,0.71429,0.71428,0.48096,1.25506,2.2125,1.52174,0.0014456,0.0014456,0.0014456
16,37.1557,0.88735,0.96649,1.18061,0.84314,0.85714,0.79561,0.54131,1.11649,1.86012,1.32701,0.001406,0.001406,0.001406
17,39.2566,0.78993,0.8932,1.15104,0.78864,0.82143,0.8058,0.59571,0.93484,2.0874,1.21268,0.0013664,0.0013664,0.0013664
18,41.4318,0.79753,0.9108,1.12244,0.79314,0.8216,0.88758,0.62074,0.99051,1.58147,1.29516,0.0013268,0.0013268,0.0013268
19,43.6024,0.90677,0.99948,1.19154,0.80891,0.90739,0.88204,0.62746,0.96903,1.17296,1.37033,0.0012872,0.0012872,0.0012872
20,45.7259,0.80737,0.883,1.14696,0.91886,0.89286,0.91231,0.63411,1.0155,1.08866,1.27487,0.0012476,0.0012476,0.0012476
21,47.8037,0.7811,0.87831,1.13823,0.97872,0.85714,0.91236,0.65212,0.96483,1.02812,1.22327,0.001208,0.001208,0.001208
22,49.9354,0.73143,0.82455,1.09752,0.89529,0.91639,0.9162,0.68275,0.92799,0.91956,1.20358,0.0011684,0.0011684,0.0011684
23,52.4354,0.75627,0.88865,1.12358,0.89192,0.88445,0.90553,0.6879,0.92397,0.95172,1.18676,0.0011288,0.0011288,0.0011288
24,55.5953,0.79344,0.91065,1.13203,0.9043,0.85714,0.90929,0.70425,0.8935,0.92409,1.15328,0.0010892,0.0010892,0.0010892
25,57.8877,0.75759,0.82982,1.08572,0.95306,0.92857,0.92098,0.70529,0.89354,0.85274,1.15077,0.0010496,0.0010496,0.0010496
26,60.1598,0.72832,0.7679,1.06777,0.88529,0.92857,0.91662,0.6713,0.94803,0.94634,1.21929,0.00101,0.00101,0.00101
27,62.2993,0.75054,0.78749,1.10375,0.95074,0.78571,0.88804,0.6926,0.95898,0.95112,1.23319,0.0009704,0.0009704,0.0009704
28,64.4603,0.73194,0.75437,1.06769,0.99306,0.89286,0.92435,0.72435,0.88628,0.84459,1.16351,0.0009308,0.0009308,0.0009308
29,66.712,0.71682,0.74977,1.07,1,0.92486,0.92554,0.70975,0.90133,0.82713,1.19895,0.0008912,0.0008912,0.0008912
